10000 BCE|   1|  0|   0|  0|  0|  0| 0
 9000 BCE|   3|  0|   0|  0|  0|  0| 0
 8000 BCE|   5|  0|   0|  0|  0|  0| 0
 7000 BCE|   7|  0|   0|  0|  0|  0| 0
 6000 BCE|  10|  0|   0|  0|  0|  0| 0
 5000 BCE|  15|  0|   0|  0|  0|  0| 0
 4000 BCE|  20|  0|   0|  0|  0|  0| 0
 3000 BCE|  25|  0|   0|  0|  0|  0| 0
 2000 BCE|  35|  0|   0|  0|  0|  0| 0
 1000 BCE|  50|  0|   0|  0|  0|  0| 0
  500 BCE| 100|  0|   0|  0|  0|  0| 0
     1 CE| 200|  0|   0|  0|  0|  0| 0
  1000 CE| 310|  0|   0|  0|  0|  0| 0
  1750 CE| 791|106| 502|163| 16|  2| 2
  1800 CE| 978|107| 635|203| 24|  7| 2
  1850 CE|1262|111| 809|276| 38| 26| 2
  1900 CE|1650|133| 947|408| 74| 82| 6
  1950 CE|2519|221|1398|547|167|172|13
  1955 CE|2756|247|1542|575|191|187|14
  1960 CE|2982|277|1674|601|209|204|16
  1965 CE|3335|314|1899|634|250|219|18
  1970 CE|3692|357|2143|656|285|232|19
  1975 CE|4068|408|2397|675|322|243|21
  1980 CE|4435|470|2632|692|361|256|23
  1985 CE|4831|542|2887|706|401|269|25
  1990 CE|5263|622|3168|721|441|283|27
  1995 CE|5674|707|3430|727|481|299|29
  2000 CE|6070|796|3680|728|520|316|31
  2005 CE|6454|888|3917|725|558|332|33
  2008 CE|6707|973|4054|732|577|337|34
